Kategori,Şehir,İlçe,Firma Adı,Adres,Açıklama,Telefon,E-posta,Web Sitesi,Enlem,Boylam
Bayan-Kuaforleri,Istanbul,Ataşehir,Genç Kuaför(Fatma Tanrıtanır),"Ataşehir Atatürk Mah. Ataşehir Blv. 6 Mozaik Çrş. K:Zemin Ataşehir, İstanbul",Yok,2164560760,veri yok,veri yok,40.989585,29.136239
Bayan-Kuaforleri,Istanbul,Ataşehir,Salon Arti Bayan Kuaförü(Recep Taşdibi),"İçerenköy Mah. Prof. Dr. Necmettin Erbakan Cad. 74/A Refigül Apt. Ataşehir, İstanbul",Yok,2164726940,salonartii@gmail.com,http://www.salonarti.com,40.975283,29.122154
Bayan-Kuaforleri,Istanbul,Ataşehir,Kent Kuaför- Kent Kuaför Esteti̇k Kozmeti̇k Ti̇c.Ltd.Şti̇. (Soner Durukan),"Ataşehir Atatürk Mah. Meriç Cad. 10 Kamelya Çrş. Ataşehir, İstanbul",Yok,2164550073,sonerdurukan72@hotmail.com,veri yok,40.990271,29.129954
Bayan-Kuaforleri,Istanbul,Ataşehir,Gürkan Bayrak Kuaför(Gürkan Bayrak),"Barbaros Mah. Ak Zambak Sok. 3 Uphill Towers B Blok K:Giriş Ataşehir, İstanbul",Yok,2166888959,info@gurkanbayrak.com,http://www.gurkanbayrak.com,40.995686207042,29.111260398802
Bayan-Kuaforleri,Istanbul,Ataşehir,Tuğba Aslan Bayan Kuaförü(Tuğba Aslan),"İçerenköy Mah. Karaman Çiftlik Yolu Cad. 60 Ataşehir, İstanbul",Yok,2164693377,veri yok,veri yok,40.978134,29.106732
Bayan-Kuaforleri,Istanbul,Ataşehir,Lent Bayan Kuaförü(Fırat Özkan),"İnönü Mah. Evren Cad. 77 Ataşehir, İstanbul",Yok,2164693645,veri yok,veri yok,40.97681,29.1387
Bayan-Kuaforleri,Istanbul,Ataşehir,Altin Firça Saç Tasarim Merkezi̇(Recep Yılmaz),"Örnek Mah. Somuncu Baba Sok. 27 Ataşehir, İstanbul",Yok,2163174415,veri yok,veri yok,40.998323,29.075073
Bayan-Kuaforleri,Istanbul,Ataşehir,Vi̇zyon Bayan Kuaförü(Berna Çal),"İçerenköy Mah. Başıbüyük Yolu Cad. Karsan Sok. 9/B Ataşehir, İstanbul",Yok,2164694451,veri yok,veri yok,40.972581,29.120468
Bayan-Kuaforleri,Istanbul,Ataşehir,Show Kuaför(Hüseyin Türkoğlu),"İçerenköy Mah. Kavaklı Sok. 1/1 Ataşehir, İstanbul",Yok,2165727812,veri yok,veri yok,40.988903,29.159125
Bayan-Kuaforleri,Istanbul,Ataşehir,Salon Levent(Bülent Oymak),"Örnek Mah. Yunus Emre Cad. 57/A Ataşehir, İstanbul",Yok,2164708753,veri yok,veri yok,41.000573,29.07793
