Kategori,Şehir,İlçe,Firma Adı,Adres,Açıklama,Telefon,E-posta,Web Sitesi,Enlem,Boylam
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Meli̇sa Güzelli̇k Salonu,"Soğanlı Mah. Gürbüz Sok. 1 Bahçelievler, İstanbul",Yok,2125061571,veri yok,veri yok,41.011098,28.860568
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Chakra Design Güzelli̇k Salonu(Uğur Yıldız),"Siyavuşpaşa Mah. Manolya Sok. 3 Bahçelievler, İstanbul",Yok,2124417065,info@chakraguzellik.com,http://www.chakraguzellik.com,40.999617,28.856841
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Nokta Güzelli̇k Merkezi̇- Nokta Otomoti̇v İnşaat Emlak Koll.Şti̇.,"Bahçelievler Mah. Adnan Kahveci Blv. 48 Bahçelievler, İstanbul",Yok,2124414110,veri yok,veri yok,41.001928,28.863044
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Seçi̇l Güzelli̇k Salonu,"Şirinevler Mah. Kazım Karabekir Cad. Kansu Sok. 1 Güven Apt. K:1 D:4 Bahçelievler, İstanbul",Yok,5358614179,veri yok,veri yok,40.996701,28.845694
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Hati̇ce Kaşik Kuaför Ve Güzelli̇k Salonu(Hatice Kaşık),"Bahçelievler Mah. Deli Hüseyinpaşa Cad. Elvan Sok. 1/B Yener Apt. Bahçelievler, İstanbul",Yok,5395156775,veri yok,veri yok,41.007711,28.860643
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Jest Esteti̇k(Nurdane Ayyıldız),"Bahçelievler Mah. Şüküfe Nihal Sok. 7 Bahçelievler, İstanbul",Yok,2124412321,veri yok,veri yok,40.999866,28.862427
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Anatolia Güzelli̇k Merkezi̇(Murat Keleş),"Bahçelievler Mah. Kültür Sok. 10 Bahçelievler, İstanbul",Yok,2124422785,veri yok,veri yok,40.996712,28.862413
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Esteti̇en Güzelli̇k & Esteti̇k Merkezi̇(Seyhan İğnak),"Bahçelievler Mah. Şükufe Nihal Sok. 4/A Bahçelievler, İstanbul",Yok,2126420024,veri yok,veri yok,40.999559,28.862233
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Epi̇ Center Esteti̇k Ve Güzelli̇k Merkezi̇(Hasan Öztürk),"Şirinevler Mah. Meriç Sok. 18 Bahçelievler, İstanbul",Yok,2125035900,veri yok,veri yok,40.992432,28.844135
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Eki̇noks Güzelli̇k Merkezi̇,"Şirinevler Mah. Mahmutbey Cad. 1. Sok. 4 Bahçelievler, İstanbul",Yok,2125526300,veri yok,veri yok,40.997809,28.848089
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Işik Lazer Güzelli̇k Salonu,"Mahmutbey Yolu Cad. 18/A Kocasinan, Bahçelievler, İstanbul",Yok,2125507527,veri yok,veri yok,41.023401,28.838558
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Doğa Güzelli̇k Salonu(Melek Özdemir),"Bahçelievler Mah. İzzet Çalışlar Cad. 5 Birlik Apt. D:5 Bahçelievler, İstanbul",Yok,5439734343,veri yok,veri yok,41.004149,28.871406
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bahcelievler,Meli̇s Epi̇lasyon(Özlem Ateş),"Şirinevler Mah. Dumlupınar Cad. 98 Bahçelievler, İstanbul",Yok,2126522535,veri yok,veri yok,40.99194,28.845162
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bakirkoy,Vip Nailbar Tirnak Merkezi̇,"Şenlikköy Mah. Florya Cad. 12/A Bakırköy, İstanbul",Cilt Ve Tırnak Bakım Merkezi,5306245227,veri yok,veri yok,40.977043,28.791715
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bakirkoy,Bengü Güzelli̇k Salonu(Pakize Toraman),"Yeşilköy Mah. Çekmece Cad. 26 Bakırköy, İstanbul",Yok,2125738327,veri yok,veri yok,40.95957,28.820089
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bakirkoy,Nl Güzelli̇k Ve Saç Bakim Hi̇zmetleri̇,"Osmaniye Mah. Fabrikalar Sok. 1/A Kızıltunca Apt. Bakırköy, İstanbul",Yok,2125705538,nly78@msn.com,veri yok,40.992941,28.880165
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bakirkoy,Metta Esteti̇k Güzelli̇k Salonu,"Zeytinlik Mah. Fahri Korutürk Cad. Tınaztepe Çrş. B Blok K:1 Dk:31 Bakırköy, İstanbul",Yok,2125710430,mettaestetik@gmail.com,http://mettaestetik.com,40.979539897066,28.874002626973
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bakirkoy,Pempe Törpü(Cansu Yılmazer),"Cevizlik Mah. İstanbul Cad. 6 D:3 Bakırköy, İstanbul",Yok,2125423543,veri yok,veri yok,40.978336,28.874799
Guzellik-Salonlari-Ve-Merkezleri,Istanbul,Bakirkoy,Maya Esteti̇k Bakirköy Şubesi̇(Nihat Dik),"Zeytinlik Mah. Fişekhane Cad. 40 Bakırköy, İstanbul",Estetik Merkezleri,2125336061,bakirkoy@mayaestetik.com,http://www.mayaestetik.com,40.978211,28.871257
