Kategori,Şehir,İlçe,Firma Adı,Adres,Açıklama,Telefon,E-posta,Web Sitesi,Enlem,Boylam
Plastik-Cerrahi,Bursa,Gursu,Adnan Erdem Muayenehanesi̇(Adnan Erdem),"Kükürtlü Mah. Kükürtlü Cad. 2/6 Osmangazi, Bursa",Yok,2242323301,veri yok,veri yok,40.206296,29.019418
Plastik-Cerrahi,Bursa,Gursu,Medi̇-Kali̇te- Medi̇-Kali̇te Medi̇kal Ci̇hazlar San. Ve Ti̇c.Ltd.Şti̇.,"Dikkaldırım Mah. Değirmen Sok. 6 Birtane Apt. A Blok K:1 D:3 Osmangazi, Bursa",Plastik - Estetik Cerrahi Malzemeleri Toptan Ve Perakende Satışı,2242350972,info@medikalite.com.tr,http://www.medikalite.com.tr,40.204589,29.016246
Plastik-Cerrahi,Bursa,Gursu,Medi̇ne Kanturk Muayenehanesi̇(Medine Kantürk),"Çekirge Mah. Osmangazi, Bursa",Yok,5327090151,drmedinekanturk@gmail.com,veri yok,40.188658,29.060849
Plastik-Cerrahi,Bursa,Gursu,Selçuk Aytaç Muayenehanesi̇,"Bağlarbaşı Mah. Sanayi Cad. 4 Osmangazi, Bursa",Yok,5448000844,veri yok,veri yok,40.214949,29.002405
Plastik-Cerrahi,Bursa,Gursu,Murat Kaan Sözer Muayenehanesi̇(Meltem Yılman),"Fethiye Mah. Sanayi Cad. Alev Sok. 263 D:66 Nilüfer, Bursa",Yok,5313788173,veri yok,veri yok,40.231313,28.981847
Plastik-Cerrahi,Bursa,Gursu,Aydan Ay Muayenehanesi̇(Aydan Ay),"Konak Mah. Kaynak Sok. 5/B Yeni Tuğcular Plaza K:4 Nilüfer, Bursa",Yok,5063718069,estetikklinikaydanay@gmail.com,veri yok,40.209949,28.978852
Plastik-Cerrahi,Bursa,Gursu,Mehmet Alper Bayraktar,"Çekirge Mah. Çekirge Cad. 105 Osmangazi, Bursa",Yok,2242335700,veri yok,veri yok,40.199252,29.03404
Plastik-Cerrahi,Bursa,Gursu,Plasti̇k Rekonstrükti̇f Ve Esteti̇k Cerrahi̇ Ana Bi̇li̇m Dali,"Görükle Sakarya Mah. Uludağ Üniversitesi Görükle Kampüsü Nilüfer, Bursa",Yok,2244428079,veri yok,veri yok,40.22567199,28.87611516
Plastik-Cerrahi,Bursa,Kestel,Adnan Erdem Muayenehanesi̇(Adnan Erdem),"Kükürtlü Mah. Kükürtlü Cad. 2/6 Osmangazi, Bursa",Yok,2242323301,veri yok,veri yok,40.206296,29.019418
Plastik-Cerrahi,Bursa,Kestel,Medi̇-Kali̇te- Medi̇-Kali̇te Medi̇kal Ci̇hazlar San. Ve Ti̇c.Ltd.Şti̇.,"Dikkaldırım Mah. Değirmen Sok. 6 Birtane Apt. A Blok K:1 D:3 Osmangazi, Bursa",Plastik - Estetik Cerrahi Malzemeleri Toptan Ve Perakende Satışı,2242350972,info@medikalite.com.tr,http://www.medikalite.com.tr,40.204589,29.016246
Plastik-Cerrahi,Bursa,Kestel,Medi̇ne Kanturk Muayenehanesi̇(Medine Kantürk),"Çekirge Mah. Osmangazi, Bursa",Yok,5327090151,drmedinekanturk@gmail.com,veri yok,40.188658,29.060849
Plastik-Cerrahi,Bursa,Kestel,Selçuk Aytaç Muayenehanesi̇,"Bağlarbaşı Mah. Sanayi Cad. 4 Osmangazi, Bursa",Yok,5448000844,veri yok,veri yok,40.214949,29.002405
Plastik-Cerrahi,Bursa,Kestel,Murat Kaan Sözer Muayenehanesi̇(Meltem Yılman),"Fethiye Mah. Sanayi Cad. Alev Sok. 263 D:66 Nilüfer, Bursa",Yok,5313788173,veri yok,veri yok,40.231313,28.981847
Plastik-Cerrahi,Bursa,Kestel,Aydan Ay Muayenehanesi̇(Aydan Ay),"Konak Mah. Kaynak Sok. 5/B Yeni Tuğcular Plaza K:4 Nilüfer, Bursa",Yok,5063718069,estetikklinikaydanay@gmail.com,veri yok,40.209949,28.978852
Plastik-Cerrahi,Bursa,Kestel,Mehmet Alper Bayraktar,"Çekirge Mah. Çekirge Cad. 105 Osmangazi, Bursa",Yok,2242335700,veri yok,veri yok,40.199252,29.03404
Plastik-Cerrahi,Bursa,Kestel,Plasti̇k Rekonstrükti̇f Ve Esteti̇k Cerrahi̇ Ana Bi̇li̇m Dali,"Görükle Sakarya Mah. Uludağ Üniversitesi Görükle Kampüsü Nilüfer, Bursa",Yok,2244428079,veri yok,veri yok,40.22567199,28.87611516
